prefecture,name,address,landmark,lat,lng,geocode_status,geocoded_address
宮城県,第4黒武(チエヌ),宮城県仙台市青葉区川内,「宮城縣護國神社」の拝殿の裏側の正面から左手の杉の木に龍管が入力しており、また魔界ナグは本殿の御身体に開いている。,38.2608821,140.8503638,ok,"川内, 砲兵営前通線, 角五郎一丁目, 川内元支倉, 青葉区, 仙台市, 宮城県, 980-0861, 日本"
秋田県,第3銀龍(カイクビオケ),秋田県仙北町西木町,田沢湖の湖底(御座石神社湖岸から200m沖合)： 【ヤエゲリア龍神】,39.7170863,140.131663,ok,"秋田〜仙台, 秋田北野田線, 中通二丁目, 千秋久保田町, 手形字中谷地, 秋田市, 秋田県, 010-8530, 日本"
秋田県,第5金鳳(ラエルヨーヌ),秋田県大仙市協和,唐松神社(天日宮)の池(池中央に高天原石碑),39.6189008,140.3622802,ok,"道の駅協和, 国道46号, 協和荒川, 大仙市, 秋田県, 019-2401, 日本"
秋田県,第6青麟(ババ・ニエヒーオ),秋田県男鹿市北浦入道崎昆布浦,入道崎の突端の岩場,,,failed,
秋田県,第1緑龍(ヘクエヨルン),秋田県仙北市西木町桧木内相内潟,田沢湖北岸の湖底(御座石神社),,,failed,
秋田県,第3緑鳳(ヌイエン),秋田県雄勝郡東成瀬村椿川,須川(すかわ)湖栗駒国定公園,39.100823,140.70999,ok,"椿川, 東成瀬村, 雄勝郡, 秋田県, 日本"
秋田県,第1橙鳳(ノニリヤヌイ),秋田県秋田市(上小阿仁村),太平山(1170m),,,failed,
秋田県,第9黒龍(クオオワルエ),秋田県鹿角市十和田毛馬内毛馬内沢,「(鹿角市)月山神社」の本殿正面から右側の狛犬の背後の二本目の杉の木に龍管が入力し、魔界ナグは本殿の御身体に開いている。： 【ヤエゲリア龍神】,,,failed,
山形県,第5白麟(ニエガ・ケケ),山形県飽海郡遊佐町,鳥海山(出羽富士)山頂(2236m),39.0148066,139.9087757,ok,"遊佐町, 飽海郡, 山形県, 日本"
山形県,第4白銀龍(ギオイブオリ),山形県鶴岡市,月山(1984m)九合目の月山真名井神社(佛生池),38.7272187,139.8266292,ok,"鶴岡市, 山形県, 日本"
山形県,第6金龍(ヒールボエゲ),山形県西村山郡西川町,湯殿山(出羽三山の一つ: 1500m)の山頂(湯殿山神社),38.426408,140.1474306,ok,"西川町, 西村山郡, 山形県, 日本"
山形県,第8金武(ビエゴハエル),山形県鶴岡市三瀬宮ノ前,気比神社の海岸線の岩場,,,failed,
山形県,第8群青鳳(ナエオイーギ),山形県西置賜郡小国町字小渡,赤芝峡眺望台(JR鉄橋眼下付近),38.0879641,139.730373,ok,"小渡, 小国町, 西置賜郡, 山形県, 999-1401, 日本"
山形県,第4黄武(ルオヌリ),山形県山県市大字山寺,面白山紅葉川渓谷の毘沙門淵,36.060597,139.4080631,ok,"行田東松山線, 東平, 東松山市, 埼玉県, 355-0004, 日本"
山形県,第4橙鳳(ヌフエル),山形県長井市(小国町),祝瓶(いわいがめ)山(1417m),,,failed,
山形県,第7黒龍(ホリヌ),山形県米沢市大字大沢(県道232号線沿い),「大沢の雪舟(そり)大明神」の石碑のうち、一番大きい右側の石碑に龍管が入力し、左がわの三個の石碑のうち、真ん中の苔むした石碑に魔界ナグが開いている。,,,failed,
福島県,第4白武(ブエアオイ・ゲア),福島県南会津郡檜枝岐村,大津岐川(小ヨッピ沢)の源流点湿地,37.0242346,139.3889296,ok,"檜枝岐村, 南会津郡, 福島県, 日本"
福島県,第8白銀武(ヨビエオーレ),福島県会津若松市港町,猪苗代湖(西湖岸)田面浜付近,37.5748017,139.9133334,ok,"河東町岡田, 会津若松市, 福島県, 965-8601, 日本"
福島県,第6銀龍(ヌオ・ユオベ),福島県南会津郡檜枝岐村,三条の滝(100m)の滝壺,37.0242346,139.3889296,ok,"檜枝岐村, 南会津郡, 福島県, 日本"
福島県,第9金龍(ハアー・ゲ),福島県耶麻郡北塩原村,毘沙門沼(裏磐梯の湖沼の一つ),37.6558156,139.9376936,ok,"北塩原村, 耶麻郡, 福島県, 日本"
福島県,第4紫龍(ズズジ・ダガ),福島県郡山市湖南町福良,隠津島(おきつしま)神社(お菅様)の滝,37.385002,140.092873,ok,"湖南町福良, 郡山市, 福島県, 日本"
福島県,第6紫鳳(ホエボニオル),福島県福島市飯坂町茂庭,摺上川渓谷の滑滝(なめたき)の滝壺,37.9006805,140.4354296,ok,"飯坂町茂庭, 福島市, 福島県, 960-0271, 日本"
福島県,第7青鳳(フ・へへル),福島県いわき市平簿磯宿崎,塩屋埼灯台の海岸岩場,,,failed,
福島県,第3緑麟(ルイヒケ),福島県耶麻郡北塩原村大字檜原,五色沼湖沼群(瑠璃沼),37.691697,140.084767,ok,"大字桧原, 北塩原村, 耶麻郡, 福島県, 969-2701, 日本"
福島県,第6緑鳳(ヌーオイイ),福島県南会津郡檜枝岐村,尾瀬沼(1660m),37.0242346,139.3889296,ok,"檜枝岐村, 南会津郡, 福島県, 日本"
福島県,第3黄鳳(テーコヒーリ),福島県東白川郡矢祭町,滝川渓谷のおぼろ滝の滝壺,36.8718111,140.4252144,ok,"矢祭町, 東白川郡, 福島県, 日本"
福島県,第7橙麟(ルアゲイル),福島県福島市,安達太良連峰北端の鬼面山(1482m),37.760777,140.4745807,ok,"福島市, 福島県, 日本"
福島県,第6赤龍(レオピグエン),福島県南会津郡南会津町(会津高原スキー場),,,,failed,
福島県,第4赤鳳(ヨイオクル),福島県南相馬市鹿島区,,37.6791354,140.9956438,ok,"鹿島区大内, 南相馬市, 福島県, 979-2334, 日本"
福島県,第7赤武(ソケイウエオ),太平洋(福島県南相馬市から東北東に約80km沖合),,,,failed,
茨城県,第4白龍(セヌソサルン),茨城県久慈郡大子町,(奥久慈)男体山の山頂岩峰(654m),36.7647755,140.3639606,ok,"大子町, 久慈郡, 茨城県, 日本"
茨城県,第7銀鳳(ヘイルキケル),茨城県東沖合約400km,日本海溝の底の割れ目(水深7700m),,,failed,
茨城県,第1銀武(ハクブイエガ),茨城県筑波市,筑波山(877m女体峰)山頂(筑波神社),36.0833265,140.077279,ok,"つくば市, 茨城県, 日本"
茨城県,第7紫龍(オオ・ハジラ),茨城県日立市入四間町,御岩神社の不動池(三本杉は魔界ナグ),36.643672,140.579073,ok,"入四間町, 日立市, 茨城県, 日本"
茨城県,第2紫麟(ナデワヤヒン),茨城県北茨城市華川町花園,花園神社の境内の弁天池,36.867512,140.625984,ok,"華川町花園, 北茨城市, 茨城県, 日本"
茨城県,第7黄龍(フカエエール),茨城県常陸太田市下高倉町,竜神峡の亀ヶ淵の滝壺,36.7000045,140.4713807,ok,"下高倉町, 常陸太田市, 茨城県, 313-0352, 日本"
茨城県,第9橙鳳(ヌイヌラエヌ),茨城県久慈郡(福島県東白川郡),八溝山(やみぞさん: 1021m),,,failed,
茨城県,第8赤龍(レケイアゲア),茨城県水戸市常盤町(偕楽園公園の中),,,,failed,
茨城県,第4赤武(セピナエイ),茨城県日立市若葉町(日立市民会館の近く),,,,failed,
